,start_year,end_year,parties_involved,title,description,Country,conflict_range
0,2000,2006,Ethiopia; Eritrea,Eritrean–Ethiopian border conflict,"A series of armed skirmishes along the border following the Algiers Agreement, leading to periodic clashes.",Ethiopia,2000 - 2006
0,2000,2006,Ethiopia; Eritrea,Eritrean–Ethiopian border conflict,"A series of armed skirmishes along the border following the Algiers Agreement, leading to periodic clashes.",Eritrea,2000 - 2006
1,2000,2007,Uganda; Lord's Resistance Army (LRA),Lord's Resistance Army insurgency,"An 2024 insurgency led by the LRA against the Ugandan government, characterized by widespread human rights violations.",Uganda,2000 - 2007
1,2000,2007,Uganda; Lord's Resistance Army (LRA),Lord's Resistance Army insurgency,"An 2024 insurgency led by the LRA against the Ugandan government, characterized by widespread human rights violations.",Lord's Resistance Army (LRA),2000 - 2007
2,2001,2002,Madagascar; political factions,Malagasy political crisis,"A political crisis resulting from disputed elections, leading to clashes and economic disruption.",Madagascar,2001 - 2002
2,2001,2002,Madagascar; political factions,Malagasy political crisis,"A political crisis resulting from disputed elections, leading to clashes and economic disruption.",political factions,2001 - 2002
3,2002,2007,Côte d'Ivoire; government forces; New Forces rebels,First Ivorian Civil War,"A civil war triggered by a failed coup attempt, dividing the country and leading to significant displacement.",Côte d'Ivoire,2002 - 2007
3,2002,2007,Côte d'Ivoire; government forces; New Forces rebels,First Ivorian Civil War,"A civil war triggered by a failed coup attempt, dividing the country and leading to significant displacement.",government forces,2002 - 2007
3,2002,2007,Côte d'Ivoire; government forces; New Forces rebels,First Ivorian Civil War,"A civil war triggered by a failed coup attempt, dividing the country and leading to significant displacement.",New Forces rebels,2002 - 2007
4,2003,2004,Sudan; Justice and Equality Movement (JEM); Sudan Liberation Movement/Army (SLM/A),Darfur conflict,An armed conflict in Darfur involving rebel groups accusing the government of oppressing non-Arab populations.,Sudan,2003 - 2004
4,2003,2004,Sudan; Justice and Equality Movement (JEM); Sudan Liberation Movement/Army (SLM/A),Darfur conflict,An armed conflict in Darfur involving rebel groups accusing the government of oppressing non-Arab populations.,Justice and Equality Movement (JEM),2003 - 2004
4,2003,2004,Sudan; Justice and Equality Movement (JEM); Sudan Liberation Movement/Army (SLM/A),Darfur conflict,An armed conflict in Darfur involving rebel groups accusing the government of oppressing non-Arab populations.,Sudan Liberation Movement/Army (SLM/A),2003 - 2004
5,1998,2002,Chad; rebel groups,Second Chadian Civil War,"This war was primarily a struggle between President Idriss Déby’s government and various rebel groups, many of which were remnants of the earlier conflict.",Chad,1998 - 2002
5,1998,2002,Chad; rebel groups,Second Chadian Civil War,"This war was primarily a struggle between President Idriss Déby’s government and various rebel groups, many of which were remnants of the earlier conflict.",rebel groups,1998 - 2002
6,2011,2014,Egypt; government; opposition; military,Egyptian Crisis,"A period marked by the 2011 revolution, followed by political instability, protests, and military interventions.",Egypt,2011 - 2014
6,2011,2014,Egypt; government; opposition; military,Egyptian Crisis,"A period marked by the 2011 revolution, followed by political instability, protests, and military interventions.",government,2011 - 2014
6,2011,2014,Egypt; government; opposition; military,Egyptian Crisis,"A period marked by the 2011 revolution, followed by political instability, protests, and military interventions.",opposition,2011 - 2014
6,2011,2014,Egypt; government; opposition; military,Egyptian Crisis,"A period marked by the 2011 revolution, followed by political instability, protests, and military interventions.",military,2011 - 2014
7,2014,2017,Libya; various armed groups; Libyan National Army (LNA); Government of National Accord (GNA),Second Libyan Civil War,"A multi-faceted conflict involving rival factions vying for control of Libya, leading to international interventions.",Libya,2014 - 2017
7,2014,2017,Libya; various armed groups; Libyan National Army (LNA); Government of National Accord (GNA),Second Libyan Civil War,"A multi-faceted conflict involving rival factions vying for control of Libya, leading to international interventions.",various armed groups,2014 - 2017
7,2014,2017,Libya; various armed groups; Libyan National Army (LNA); Government of National Accord (GNA),Second Libyan Civil War,"A multi-faceted conflict involving rival factions vying for control of Libya, leading to international interventions.",Libyan National Army (LNA),2014 - 2017
7,2014,2017,Libya; various armed groups; Libyan National Army (LNA); Government of National Accord (GNA),Second Libyan Civil War,"A multi-faceted conflict involving rival factions vying for control of Libya, leading to international interventions.",Government of National Accord (GNA),2014 - 2017
8,2015,2024,Mali; AQIM; ISGS; French forces,Insurgency in the Maghreb,2024 conflict involving Malian government forces and Islamist militants seeking to establish an Islamic state.,Mali,2015 - 2024
8,2015,2024,Mali; AQIM; ISGS; French forces,Insurgency in the Maghreb,2024 conflict involving Malian government forces and Islamist militants seeking to establish an Islamic state.,AQIM,2015 - 2024
8,2015,2024,Mali; AQIM; ISGS; French forces,Insurgency in the Maghreb,2024 conflict involving Malian government forces and Islamist militants seeking to establish an Islamic state.,ISGS,2015 - 2024
8,2015,2024,Mali; AQIM; ISGS; French forces,Insurgency in the Maghreb,2024 conflict involving Malian government forces and Islamist militants seeking to establish an Islamic state.,French forces,2015 - 2024
9,2020,2022,Ethiopia; TPLF; Eritrean forces,Tigray War,"Conflict between TPLF and Ethiopian government forces, resulting in significant casualties and displacement.",Ethiopia,2020 - 2022
9,2020,2022,Ethiopia; TPLF; Eritrean forces,Tigray War,"Conflict between TPLF and Ethiopian government forces, resulting in significant casualties and displacement.",TPLF,2020 - 2022
9,2020,2022,Ethiopia; TPLF; Eritrean forces,Tigray War,"Conflict between TPLF and Ethiopian government forces, resulting in significant casualties and displacement.",Eritrean forces,2020 - 2022
10,2023,2024,Niger; military junta; armed groups,Nigerien Crisis,"Political crisis following a military coup, leading to regional tensions and governance concerns.",Niger,2023 - 2024
10,2023,2024,Niger; military junta; armed groups,Nigerien Crisis,"Political crisis following a military coup, leading to regional tensions and governance concerns.",military junta,2023 - 2024
10,2023,2024,Niger; military junta; armed groups,Nigerien Crisis,"Political crisis following a military coup, leading to regional tensions and governance concerns.",armed groups,2023 - 2024
11,2005,2006,Ethiopia; Oromo Liberation Front (OLF),Insurgency in Oromia,"An insurgency led by the OLF against the Ethiopian government, seeking self-determination for the Oromo people. The conflict involved guerrilla warfare and counter-insurgency operations.",Ethiopia,2005 - 2006
11,2005,2006,Ethiopia; Oromo Liberation Front (OLF),Insurgency in Oromia,"An insurgency led by the OLF against the Ethiopian government, seeking self-determination for the Oromo people. The conflict involved guerrilla warfare and counter-insurgency operations.",Oromo Liberation Front (OLF),2005 - 2006
12,2006,2006,Somalia; Islamic Courts Union (ICU); Transitional Federal Government (TFG); Ethiopia,War in Somalia,"A conflict where the ICU took control of much of southern Somalia, leading to intervention by Ethiopian forces supporting the TFG, resulting in the ousting of the ICU from major cities.",Somalia,2006 - 2006
12,2006,2006,Somalia; Islamic Courts Union (ICU); Transitional Federal Government (TFG); Ethiopia,War in Somalia,"A conflict where the ICU took control of much of southern Somalia, leading to intervention by Ethiopian forces supporting the TFG, resulting in the ousting of the ICU from major cities.",Islamic Courts Union (ICU),2006 - 2006
12,2006,2006,Somalia; Islamic Courts Union (ICU); Transitional Federal Government (TFG); Ethiopia,War in Somalia,"A conflict where the ICU took control of much of southern Somalia, leading to intervention by Ethiopian forces supporting the TFG, resulting in the ousting of the ICU from major cities.",Transitional Federal Government (TFG),2006 - 2006
12,2006,2006,Somalia; Islamic Courts Union (ICU); Transitional Federal Government (TFG); Ethiopia,War in Somalia,"A conflict where the ICU took control of much of southern Somalia, leading to intervention by Ethiopian forces supporting the TFG, resulting in the ousting of the ICU from major cities.",Ethiopia,2006 - 2006
13,2000,2000,Zimbabwe; Movement for Democratic Change (MDC); Zimbabwe African National Union-Patriotic Front (ZANU-PF),Zimbabwean Political Crisis,"A political crisis marked by disputed parliamentary elections, leading to violence and allegations of electoral fraud.",Zimbabwe,2000 - 2000
13,2000,2000,Zimbabwe; Movement for Democratic Change (MDC); Zimbabwe African National Union-Patriotic Front (ZANU-PF),Zimbabwean Political Crisis,"A political crisis marked by disputed parliamentary elections, leading to violence and allegations of electoral fraud.",Movement for Democratic Change (MDC),2000 - 2000
13,2000,2000,Zimbabwe; Movement for Democratic Change (MDC); Zimbabwe African National Union-Patriotic Front (ZANU-PF),Zimbabwean Political Crisis,"A political crisis marked by disputed parliamentary elections, leading to violence and allegations of electoral fraud.",Zimbabwe African National Union-Patriotic Front (ZANU-PF),2000 - 2000
14,2001,2002,Burundi; Forces for the Defense of Democracy (FDD); National Liberation Forces (FNL); Burundian government,Burundian Civil War,"The final phase of a civil war involving ethnic tensions between Hutu rebel groups and the Tutsi-dominated government, leading to a peace agreement in 2003.",Burundi,2001 - 2002
14,2001,2002,Burundi; Forces for the Defense of Democracy (FDD); National Liberation Forces (FNL); Burundian government,Burundian Civil War,"The final phase of a civil war involving ethnic tensions between Hutu rebel groups and the Tutsi-dominated government, leading to a peace agreement in 2003.",Forces for the Defense of Democracy (FDD),2001 - 2002
14,2001,2002,Burundi; Forces for the Defense of Democracy (FDD); National Liberation Forces (FNL); Burundian government,Burundian Civil War,"The final phase of a civil war involving ethnic tensions between Hutu rebel groups and the Tutsi-dominated government, leading to a peace agreement in 2003.",National Liberation Forces (FNL),2001 - 2002
14,2001,2002,Burundi; Forces for the Defense of Democracy (FDD); National Liberation Forces (FNL); Burundian government,Burundian Civil War,"The final phase of a civil war involving ethnic tensions between Hutu rebel groups and the Tutsi-dominated government, leading to a peace agreement in 2003.",Burundian government,2001 - 2002
15,2003,2003,São Tomé and Príncipe; military factions,São Tomé and Príncipe Coup,"A brief military coup that ousted President Fradique de Menezes, who was later reinstated following negotiations.",São Tomé and Príncipe,2003 - 2003
15,2003,2003,São Tomé and Príncipe; military factions,São Tomé and Príncipe Coup,"A brief military coup that ousted President Fradique de Menezes, who was later reinstated following negotiations.",military factions,2003 - 2003
16,2004,2004,Guinea-Bissau; military factions,Guinea-Bissau Coup,"A bloodless coup led by the military, deposing President Kumba Ialá and leading to transitional governance.",Guinea-Bissau,2004 - 2004
16,2004,2004,Guinea-Bissau; military factions,Guinea-Bissau Coup,"A bloodless coup led by the military, deposing President Kumba Ialá and leading to transitional governance.",military factions,2004 - 2004
17,2005,2005,Mauritania; military factions,3rd Mauritanian Coup,"A military coup that ousted President Maaouya Ould Sid'Ahmed Taya, leading to the establishment of a military council.",Mauritania,2005 - 2005
17,2005,2005,Mauritania; military factions,3rd Mauritanian Coup,"A military coup that ousted President Maaouya Ould Sid'Ahmed Taya, leading to the establishment of a military council.",military factions,2005 - 2005
18,2007,2007,Guinea; military factions,Guinean General Strike,"A general strike that escalated into violent protests against President Lansana Conté's regime, leading to a declaration of martial law.",Guinea,2007 - 2007
18,2007,2007,Guinea; military factions,Guinean General Strike,"A general strike that escalated into violent protests against President Lansana Conté's regime, leading to a declaration of martial law.",military factions,2007 - 2007
19,2008,2008,Guinea-Bissau; military factions,Guinea-Bissau Coup Attempt,"An attempted coup involving clashes between military factions, resulting in the assassination of the army chief of staff.",Guinea-Bissau,2008 - 2008
19,2008,2008,Guinea-Bissau; military factions,Guinea-Bissau Coup Attempt,"An attempted coup involving clashes between military factions, resulting in the assassination of the army chief of staff.",military factions,2008 - 2008
20,2009,2009,Guinea; military factions,Guinean Political Crisis,"A political crisis following a military coup that brought Captain Moussa Dadis Camara to power, leading to violent crackdowns on opposition protests.",Guinea,2009 - 2009
20,2009,2009,Guinea; military factions,Guinean Political Crisis,"A political crisis following a military coup that brought Captain Moussa Dadis Camara to power, leading to violent crackdowns on opposition protests.",military factions,2009 - 2009
21,2010,2010,Niger; military factions,Nigerien Coup,"A military coup that ousted President Mamadou Tandja, leading to the establishment of a transitional government.",Niger,2010 - 2010
21,2010,2010,Niger; military factions,Nigerien Coup,"A military coup that ousted President Mamadou Tandja, leading to the establishment of a transitional government.",military factions,2010 - 2010
22,2011,2011,Sudan; South Sudan; Sudan People's Liberation Movement (SPLM),South Sudanese Independence,"The secession of South Sudan from Sudan following a referendum, leading to the establishment of the Republic of South Sudan.",Sudan,2011 - 2011
22,2011,2011,Sudan; South Sudan; Sudan People's Liberation Movement (SPLM),South Sudanese Independence,"The secession of South Sudan from Sudan following a referendum, leading to the establishment of the Republic of South Sudan.",South Sudan,2011 - 2011
22,2011,2011,Sudan; South Sudan; Sudan People's Liberation Movement (SPLM),South Sudanese Independence,"The secession of South Sudan from Sudan following a referendum, leading to the establishment of the Republic of South Sudan.",Sudan People's Liberation Movement (SPLM),2011 - 2011
23,2012,2012,Guinea-Bissau; military factions,Guinea-Bissau Coup,"A military coup that interrupted the presidential election process, leading to international condemnation and sanctions.",Guinea-Bissau,2012 - 2012
23,2012,2012,Guinea-Bissau; military factions,Guinea-Bissau Coup,"A military coup that interrupted the presidential election process, leading to international condemnation and sanctions.",military factions,2012 - 2012
24,2013,2013,Egypt; Egyptian government; opposition groups; military; various political factions,Egyptian Coup d'État,"A military coup that ousted President Mohamed Morsi, leading to political instability and violent crackdowns on protests.",Egypt,2013 - 2013
24,2013,2013,Egypt; Egyptian government; opposition groups; military; various political factions,Egyptian Coup d'État,"A military coup that ousted President Mohamed Morsi, leading to political instability and violent crackdowns on protests.",Egyptian government,2013 - 2013
24,2013,2013,Egypt; Egyptian government; opposition groups; military; various political factions,Egyptian Coup d'État,"A military coup that ousted President Mohamed Morsi, leading to political instability and violent crackdowns on protests.",opposition groups,2013 - 2013
24,2013,2013,Egypt; Egyptian government; opposition groups; military; various political factions,Egyptian Coup d'État,"A military coup that ousted President Mohamed Morsi, leading to political instability and violent crackdowns on protests.",military,2013 - 2013
24,2013,2013,Egypt; Egyptian government; opposition groups; military; various political factions,Egyptian Coup d'État,"A military coup that ousted President Mohamed Morsi, leading to political instability and violent crackdowns on protests.",various political factions,2013 - 2013
25,2000,2003,Democratic Republic of the Congo; government forces; various rebel groups; multiple African nations,Second Congo War,"Known as the Great War of Africa, involved multiple nations with significant casualties and displacement.",Democratic Republic of the Congo,2000 - 2003
25,2000,2003,Democratic Republic of the Congo; government forces; various rebel groups; multiple African nations,Second Congo War,"Known as the Great War of Africa, involved multiple nations with significant casualties and displacement.",government forces,2000 - 2003
25,2000,2003,Democratic Republic of the Congo; government forces; various rebel groups; multiple African nations,Second Congo War,"Known as the Great War of Africa, involved multiple nations with significant casualties and displacement.",various rebel groups,2000 - 2003
25,2000,2003,Democratic Republic of the Congo; government forces; various rebel groups; multiple African nations,Second Congo War,"Known as the Great War of Africa, involved multiple nations with significant casualties and displacement.",multiple African nations,2000 - 2003
26,2005,2005,Togo; government forces; opposition parties,Togo Political Crisis,Unrest and violence followed Faure Gnassingbé's controversial succession.,Togo,2005 - 2005
26,2005,2005,Togo; government forces; opposition parties,Togo Political Crisis,Unrest and violence followed Faure Gnassingbé's controversial succession.,government forces,2005 - 2005
26,2005,2005,Togo; government forces; opposition parties,Togo Political Crisis,Unrest and violence followed Faure Gnassingbé's controversial succession.,opposition parties,2005 - 2005
27,2005,2010,Chad; rebel groups,Third Chadian Civil War,"Beginning in December 2005, this conflict involved multiple rebel groups challenging President Idriss Déby's government. The war concluded in January 2010 with a government victory. ",Chad,2005 - 2010
27,2005,2010,Chad; rebel groups,Third Chadian Civil War,"Beginning in December 2005, this conflict involved multiple rebel groups challenging President Idriss Déby's government. The war concluded in January 2010 with a government victory. ",rebel groups,2005 - 2010
28,2007,2008,Kenya; supporters of rival political parties,Kenyan Post-Election Violence,Widespread violence following disputed election results caused significant displacement and deaths.,Kenya,2007 - 2008
28,2007,2008,Kenya; supporters of rival political parties,Kenyan Post-Election Violence,Widespread violence following disputed election results caused significant displacement and deaths.,supporters of rival political parties,2007 - 2008
29,2008,2008,Mauritania; military factions,4th Mauritanian Coup,President Sidi Ould Cheikh Abdallahi was deposed in a coup orchestrated by General Mohamed Ould Abdel Aziz.,Mauritania,2008 - 2008
29,2008,2008,Mauritania; military factions,4th Mauritanian Coup,President Sidi Ould Cheikh Abdallahi was deposed in a coup orchestrated by General Mohamed Ould Abdel Aziz.,military factions,2008 - 2008
30,2008,2009,Niger; government forces; Tuareg rebel groups,Second Tuareg Rebellion,Tuareg groups demanded greater autonomy and control over resources.,Niger,2008 - 2009
30,2008,2009,Niger; government forces; Tuareg rebel groups,Second Tuareg Rebellion,Tuareg groups demanded greater autonomy and control over resources.,government forces,2008 - 2009
30,2008,2009,Niger; government forces; Tuareg rebel groups,Second Tuareg Rebellion,Tuareg groups demanded greater autonomy and control over resources.,Tuareg rebel groups,2008 - 2009
31,2011,2011,Libya; government forces loyal to Muammar Gaddafi; various rebel groups,Libyan Civil War,"Conflict led to Gaddafi's overthrow and death, creating 2024 instability.",Libya,2011 - 2011
31,2011,2011,Libya; government forces loyal to Muammar Gaddafi; various rebel groups,Libyan Civil War,"Conflict led to Gaddafi's overthrow and death, creating 2024 instability.",government forces loyal to Muammar Gaddafi,2011 - 2011
31,2011,2011,Libya; government forces loyal to Muammar Gaddafi; various rebel groups,Libyan Civil War,"Conflict led to Gaddafi's overthrow and death, creating 2024 instability.",various rebel groups,2011 - 2011
32,2012,2012,Mali; military factions,Mali Coup d'État,"Soldiers ousted President Touré, blaming mishandling of a Tuareg rebellion.",Mali,2012 - 2012
32,2012,2012,Mali; military factions,Mali Coup d'État,"Soldiers ousted President Touré, blaming mishandling of a Tuareg rebellion.",military factions,2012 - 2012
33,2012,2013,Central African Republic; government forces; Séléka rebel coalition,Central African Republic Civil War,"Séléka seized power, triggering sectarian violence and a humanitarian crisis.",Central African Republic,2012 - 2013
33,2012,2013,Central African Republic; government forces; Séléka rebel coalition,Central African Republic Civil War,"Séléka seized power, triggering sectarian violence and a humanitarian crisis.",government forces,2012 - 2013
33,2012,2013,Central African Republic; government forces; Séléka rebel coalition,Central African Republic Civil War,"Séléka seized power, triggering sectarian violence and a humanitarian crisis.",Séléka rebel coalition,2012 - 2013
34,2013,2014,South Sudan; government forces; opposition factions,South Sudan Civil War,Political disputes escalated into armed conflict with significant casualties and displacement.,South Sudan,2013 - 2014
34,2013,2014,South Sudan; government forces; opposition factions,South Sudan Civil War,Political disputes escalated into armed conflict with significant casualties and displacement.,government forces,2013 - 2014
34,2013,2014,South Sudan; government forces; opposition factions,South Sudan Civil War,Political disputes escalated into armed conflict with significant casualties and displacement.,opposition factions,2013 - 2014
35,2014,2014,Burkina Faso; government forces; civilian protesters,Burkinabé Uprising,Mass protests forced President Blaise Compaoré to resign after 27 years in power.,Burkina Faso,2014 - 2014
35,2014,2014,Burkina Faso; government forces; civilian protesters,Burkinabé Uprising,Mass protests forced President Blaise Compaoré to resign after 27 years in power.,government forces,2014 - 2014
35,2014,2014,Burkina Faso; government forces; civilian protesters,Burkinabé Uprising,Mass protests forced President Blaise Compaoré to resign after 27 years in power.,civilian protesters,2014 - 2014
36,2015,2015,Burundi; government forces; opposition groups,Burundian Unrest,Political unrest and violence following President Pierre Nkurunziza's announcement to run for a third term.,Burundi,2015 - 2015
36,2015,2015,Burundi; government forces; opposition groups,Burundian Unrest,Political unrest and violence following President Pierre Nkurunziza's announcement to run for a third term.,government forces,2015 - 2015
36,2015,2015,Burundi; government forces; opposition groups,Burundian Unrest,Political unrest and violence following President Pierre Nkurunziza's announcement to run for a third term.,opposition groups,2015 - 2015
37,2015,2024,Burkina Faso; government forces; jihadist groups,Jihadist Insurgency in Burkina Faso,"Armed groups affiliated with al-Qaeda and ISIS intensified attacks, leading to significant displacement and casualties.",Burkina Faso,2015 - 2024
37,2015,2024,Burkina Faso; government forces; jihadist groups,Jihadist Insurgency in Burkina Faso,"Armed groups affiliated with al-Qaeda and ISIS intensified attacks, leading to significant displacement and casualties.",government forces,2015 - 2024
37,2015,2024,Burkina Faso; government forces; jihadist groups,Jihadist Insurgency in Burkina Faso,"Armed groups affiliated with al-Qaeda and ISIS intensified attacks, leading to significant displacement and casualties.",jihadist groups,2015 - 2024
38,2016,2024,Niger; government forces; jihadist groups,Jihadist Insurgency in Niger,"Escalation of attacks by jihadist groups in the Sahel region, affecting border areas.",Niger,2016 - 2024
38,2016,2024,Niger; government forces; jihadist groups,Jihadist Insurgency in Niger,"Escalation of attacks by jihadist groups in the Sahel region, affecting border areas.",government forces,2016 - 2024
38,2016,2024,Niger; government forces; jihadist groups,Jihadist Insurgency in Niger,"Escalation of attacks by jihadist groups in the Sahel region, affecting border areas.",jihadist groups,2016 - 2024
39,2016,2024,Cameroon; government forces; Anglophone separatists,Anglophone Crisis,Conflict between Cameroon's government and English-speaking regions seeking independence.,Cameroon,2016 - 2024
39,2016,2024,Cameroon; government forces; Anglophone separatists,Anglophone Crisis,Conflict between Cameroon's government and English-speaking regions seeking independence.,government forces,2016 - 2024
39,2016,2024,Cameroon; government forces; Anglophone separatists,Anglophone Crisis,Conflict between Cameroon's government and English-speaking regions seeking independence.,Anglophone separatists,2016 - 2024
40,2017,2024,Mozambique; government forces; Islamist insurgents,Islamist Insurgency in Mozambique,"Armed Islamist groups launched attacks in the Cabo Delgado province, causing humanitarian crises.",Mozambique,2017 - 2024
40,2017,2024,Mozambique; government forces; Islamist insurgents,Islamist Insurgency in Mozambique,"Armed Islamist groups launched attacks in the Cabo Delgado province, causing humanitarian crises.",government forces,2017 - 2024
40,2017,2024,Mozambique; government forces; Islamist insurgents,Islamist Insurgency in Mozambique,"Armed Islamist groups launched attacks in the Cabo Delgado province, causing humanitarian crises.",Islamist insurgents,2017 - 2024
41,2017,2017,Zimbabwe; military factions; government forces,Zimbabwean Coup d'État,"The military intervened, leading to President Robert Mugabe's resignation after 37 years in power.",Zimbabwe,2017 - 2017
41,2017,2017,Zimbabwe; military factions; government forces,Zimbabwean Coup d'État,"The military intervened, leading to President Robert Mugabe's resignation after 37 years in power.",military factions,2017 - 2017
41,2017,2017,Zimbabwe; military factions; government forces,Zimbabwean Coup d'État,"The military intervened, leading to President Robert Mugabe's resignation after 37 years in power.",government forces,2017 - 2017
42,2019,2019,Sudan; military factions; civilian protesters,Sudanese Revolution,Nationwide protests led to the ousting of President Omar al-Bashir after 30 years in power.,Sudan,2019 - 2019
42,2019,2019,Sudan; military factions; civilian protesters,Sudanese Revolution,Nationwide protests led to the ousting of President Omar al-Bashir after 30 years in power.,military factions,2019 - 2019
42,2019,2019,Sudan; military factions; civilian protesters,Sudanese Revolution,Nationwide protests led to the ousting of President Omar al-Bashir after 30 years in power.,civilian protesters,2019 - 2019
43,2020,2020,Mali; military factions; government forces,Malian Coup d'État,Military officers overthrew President Ibrahim Boubacar Keïta amid escalating jihadist insurgency.,Mali,2020 - 2020
43,2020,2020,Mali; military factions; government forces,Malian Coup d'État,Military officers overthrew President Ibrahim Boubacar Keïta amid escalating jihadist insurgency.,military factions,2020 - 2020
43,2020,2020,Mali; military factions; government forces,Malian Coup d'État,Military officers overthrew President Ibrahim Boubacar Keïta amid escalating jihadist insurgency.,government forces,2020 - 2020
44,2021,2021,Chad; military factions; government forces,Chadian Coup d'État,"Following President Idriss Déby's death, the military dissolved the government and parliament, establishing a transitional council.",Chad,2021 - 2021
44,2021,2021,Chad; military factions; government forces,Chadian Coup d'État,"Following President Idriss Déby's death, the military dissolved the government and parliament, establishing a transitional council.",military factions,2021 - 2021
44,2021,2021,Chad; military factions; government forces,Chadian Coup d'État,"Following President Idriss Déby's death, the military dissolved the government and parliament, establishing a transitional council.",government forces,2021 - 2021
45,2021,2021,Guinea; military factions; government forces,Guinean Coup d'État,"Special forces ousted President Alpha Condé, citing concerns over corruption and economic mismanagement.",Guinea,2021 - 2021
45,2021,2021,Guinea; military factions; government forces,Guinean Coup d'État,"Special forces ousted President Alpha Condé, citing concerns over corruption and economic mismanagement.",military factions,2021 - 2021
45,2021,2021,Guinea; military factions; government forces,Guinean Coup d'État,"Special forces ousted President Alpha Condé, citing concerns over corruption and economic mismanagement.",government forces,2021 - 2021
46,2021,2024,Ethiopia; government forces; Tigray People's Liberation Front (TPLF); Eritrean forces,Tigray War,"Armed conflict in the Tigray region, leading to a humanitarian crisis and regional instability.",Ethiopia,2021 - 2024
